ID	GrossMonthlyIncome	CreditCardPayment	CarPayment	StudentLoanPayments	AppraisedValue	DownPayment	LoanAmount	MonthlyMortgagePayment	CreditScore
115	9399	251	368	281	363241	39956.51	323284.49	1735.46	745
116	3141	228	385	391	302726	45408.9	257317.1	1228.47	783
117	2801	415	447	267	484987	53348.57	431638.43	2871.7	620
118	7145	348	379	359	248811	64690.86	184120.14	1103.89	682
119	5382	360	462	392	393000	102180	290820	1226.11	809
120	9986	227	386	438	266420	61276.6	205143.4	1505.27	536
121	3086	230	405	262	458876	82597.68	376278.32	2019.94	714
122	5889	208	402	278	408502	69445.34	339056.66	2487.88	585
123	6724	439	374	214	382436	19121.8	363314.2	2665.87	580
124	6455	381	471	380	349466	90861.16	258604.84	1234.62	781
125	5866	225	396	357	387925	100860.5	287064.5	1909.85	638
126	6116	311	372	235	384615	61538.4	323076.6	2149.44	619
127	7274	388	446	298	468506	51535.66	416970.34	3059.58	553
128	8937	485	371	240	433729	117106.83	316622.17	1334.89	831
129	7654	237	473	373	278267	66784.08	211482.92	1135.29	727
130	4237	388	473	333	408597	98063.28	310533.72	1861.81	671
131	4478	441	488	362	412097	61814.55	350282.45	1476.8	832
132	6391	290	380	355	352426	91630.76	260795.24	1099.52	807
133	9084	465	483	441	451587	108380.88	343206.12	1638.52	767
134	7085	361	391	278	321686	77204.64	244481.36	1030.74	844
135	2429	364	396	363	372747	37274.7	335472.3	1414.36	847
136	4687	273	368	429	352606	74047.26	278558.74	2043.97	502
137	3011	402	444	223	251619	37742.85	213876.15	1021.08	797
138	8012	303	415	296	345445	20726.7	324718.3	2160.36	640
139	3482	419	494	351	315903	69498.66	246404.34	1808.03	582
140	2440	282	387	228	306749	70552.27	236196.73	1267.96	745
141	7428	333	450	325	483190	28991.4	454198.6	2723.15	696
142	4338	356	381	267	366253	25637.71	340615.29	2499.31	589
143	4359	385	453	212	300132	69030.36	231101.64	974.33	835
144	6162	314	451	425	397060	39706	357354	2622.14	562
145	5040	475	392	323	491660	137664.8	353995.2	2355.14	641
146	2349	367	436	275	380825	41890.75	338934.25	2486.98	527
147	8313	215	415	433	449788	44978.8	404809.2	1932.62	772
148	5989	359	391	445	307494	79948.44	227545.56	1086.34	756
149	9775	338	415	252	300999	66219.78	234779.22	1120.87	789
150	7521	367	450	400	315187	18911.22	296275.78	1590.47	730
151	4757	238	477	304	360654	28852.32	331801.68	2434.64	565
152	3272	473	423	238	372878	33559.02	339318.98	1619.96	794
153	5906	377	427	402	298505	80596.35	217908.65	918.71	830
154	2251	351	487	256	466250	93250	373000	2481.58	625
155	3978	465	351	339	366200	87888	278312	2042.15	514
156	5968	323	467	267	394534	82852.14	311681.86	2287.01	502
157	5368	431	383	395	249720	22474.8	227245.2	1511.87	616
158	2180	413	421	339	357366	75046.86	282319.14	1878.28	649
159	8346	477	407	311	473151	33120.57	440030.43	2100.77	790
160	3715	438	420	268	274791	19235.37	255555.63	1875.18	540
161	8857	435	362	328	457372	59458.36	397913.64	2647.33	648
162	6154	335	415	442	454299	122660.73	331638.27	2206.4	638
163	5635	350	426	437	426555	81045.45	345509.55	2535.23	572
164	7348	474	396	404	258126	25812.6	232313.4	1545.59	633
165	2758	306	432	411	332291	63135.29	269155.71	1284.99	755
166	2793	278	390	313	414143	86970.03	327172.97	1961.57	665
167	2690	243	445	438	289614	14480.7	275133.3	1830.47	622
168	3985	342	388	418	433082	43308.2	389773.8	1860.84	772
169	9257	413	456	402	359040	57446.4	301593.6	1271.53	814
170	5229	289	398	350	303214	24257.12	278956.88	2046.89	598
171	8275	300	390	446	346956	52043.4	294912.6	2163.96	543
172	3988	220	360	215	252688	42956.96	209731.04	884.23	809
173	4161	348	422	318	346333	90046.58	256286.42	1880.54	566
174	9381	349	353	406	463171	69475.65	393695.35	2619.26	640
175	9342	262	362	249	255349	61283.76	194065.24	1423.98	518
176	8386	215	386	333	332049	23243.43	308805.57	2265.91	544
177	9203	475	433	341	236893	42640.74	194252.26	1425.35	699
178	4669	488	481	317	292928	26363.52	266564.48	1598.19	667
179	7324	264	406	286	303051	75762.75	227288.25	1220.13	710
180	9875	403	353	247	462698	55523.76	407174.24	2708.94	628
181	8661	366	428	241	347876	80011.48	267864.52	1605.98	688
182	5517	449	464	286	333717	63406.23	270310.77	1139.64	812
183	2122	380	476	334	491976	49197.6	442778.4	3248.95	599
184	5251	344	372	232	496118	143874.22	352243.78	1681.67	797
185	7955	223	484	400	303839	63806.19	240032.81	1596.94	612
186	5760	200	436	269	350454	52568.1	297885.9	2185.78	593
187	6050	375	410	213	380961	102859.47	278101.53	2040.61	800
188	3022	210	482	391	382541	99460.66	283080.34	1193.48	801
189	2995	484	435	335	357027	92827.02	264199.98	1261.33	793
190	3962	243	474	263	484659	106624.98	378034.02	2266.5	686
191	2607	206	362	325	327745	58994.1	268750.9	1133.06	824
192	4672	445	461	249	339351	74657.22	264693.78	1263.69	780
193	4110	252	410	334	394634	82873.14	311760.86	2287.59	504
194	3868	286	404	259	466298	41966.82	424331.18	1789	846
195	7183	433	472	422	412631	103157.75	309473.25	2270.81	549
196	2341	354	374	449	291610	49573.7	242036.3	1775.98	800
197	6714	318	455	300	470192	56423.04	413768.96	3036.09	503
198	4400	433	398	241	258352	46503.36	211848.64	1554.47	506
199	7834	287	462	292	442455	44245.5	398209.5	2649.3	605
200	4956	303	460	280	230615	20755.35	209859.65	1126.57	730
201	9832	383	494	386	244232	39077.12	205154.88	1230.01	697
202	5533	281	377	267	241424	43456.32	197967.68	1452.62	509
203	4574	496	467	403	275641	52371.79	223269.21	1338.61	669
204	3520	345	479	307	407029	85476.09	321552.91	2359.44	577
205	5256	364	392	306	431155	38803.95	392351.05	1654.17	836
206	7622	279	352	318	264745	42359.2	222385.8	1631.79	562
207	2995	486	400	419	392361	47083.32	345277.68	2533.53	571
208	5638	453	468	202	459754	36780.32	422973.68	2814.05	648
209	8647	272	499	392	390637	89846.51	300790.49	1268.14	824
210	9694	288	448	214	496218	89319.24	406898.76	2184.32	748
211	9779	315	352	314	289557	69493.68	220063.32	1614.75	572
212	9472	326	361	348	498943	54883.73	444059.27	3258.35	588
213	6070	367	405	342	418896	92157.12	326738.88	2173.8	642
214	4283	203	431	240	390250	70245	320005	1717.86	741
215	2333	425	457	403	483907	91942.33	391964.67	1871.3	757
216	3262	244	416	318	269730	67432.5	202297.5	852.89	826
217	6184	216	464	408	401449	36130.41	365318.59	1961.11	740
218	9632	227	448	436	378822	83340.84	295481.16	2168.14	564
219	8315	385	428	228	243219	70533.51	172685.49	1267.1	543
220	8174	449	356	329	337517	60753.06	276763.94	2030.8	587
221	9152	214	416	269	453337	104267.51	349069.49	2561.35	572
222	3731	386	355	422	335153	40218.36	294934.64	1583.27	732
223	4718	213	371	371	253830	12691.5	241138.5	1294.48	729
224	4295	417	391	449	465924	69888.6	396035.4	1890.73	792
225	3955	401	414	267	346788	97100.64	249687.36	1832.12	507
226	9528	489	402	337	300287	60057.4	240229.6	1762.72	593
227	8952	329	358	348	320023	44803.22	275219.78	1650.08	690
228	3718	288	362	289	366513	76967.73	289545.27	1220.73	803
229	2447	341	371	424	331401	79536.24	251864.76	1202.44	788
230	9640	280	498	248	481661	28899.66	452761.34	3012.23	635
231	2318	221	431	352	447271	49199.81	398071.19	2648.38	611
232	3402	260	470	240	356531	64175.58	292355.42	1395.75	775
233	5639	317	430	420	237606	49897.26	187708.74	1248.83	635
234	4635	388	370	311	308046	55448.28	252597.72	1205.94	762
235	2741	270	455	334	471205	61256.65	409948.35	1728.36	814
236	7149	416	447	322	475594	52315.34	423278.66	2537.77	686
237	6328	362	476	239	264719	34413.47	230305.53	1689.9	518
238	8133	427	400	398	492038	59044.56	432993.44	2880.72	640
239	5540	250	475	208	344863	37934.93	306928.07	1465.32	786
240	4944	335	415	219	357317	17865.85	339451.15	2490.77	540
241	3530	208	468	282	477513	47751.3	429761.7	3153.44	567
242	6838	419	445	292	247385	51950.85	195434.15	1300.23	621
243	6571	295	446	366	380408	34236.72	346171.28	2303.09	642
244	2192	471	365	323	232380	13942.8	218437.2	1309.64	654
245	3921	488	479	257	337125	50568.75	286556.25	1368.06	791
246	6733	273	387	255	252726	53072.46	199653.54	1464.99	502
247	4868	297	482	409	484455	82357.35	402097.65	2158.55	730
248	6954	269	460	254	449901	49489.11	400411.89	1911.63	760
249	9702	239	369	331	488219	63468.47	424750.53	3116.67	590
250	3993	267	429	436	422811	46509.21	376301.79	2020.07	729
251	4937	249	433	355	356398	32075.82	324322.18	2157.72	648
252	5206	325	477	249	235689	44780.91	190908.09	1024.84	734
253	9310	288	406	418	474670	71200.5	403469.5	2419	683
254	4976	360	422	289	475864	104690.08	371173.92	1772.04	797
255	8475	274	486	371	433129	69300.64	363828.36	2420.56	613
256	3975	285	389	424	385166	96291.5	288874.5	1379.13	770
257	8119	426	460	214	373411	85884.53	287526.47	1372.7	776
258	5720	342	496	277	237458	42742.44	194715.56	929.6	787
259	3149	319	427	436	494690	39575.2	455114.8	3339.47	513
260	6724	209	434	356	273387	19137.09	254249.91	1524.36	665
261	7732	285	379	259	483294	43496.46	439797.54	2636.81	694
262	9671	205	401	401	314134	69109.48	245024.52	1169.78	759
263	5432	383	457	287	320457	16022.85	304434.15	2233.83	598
264	2023	303	445	328	402414	80482.8	321931.2	1357.27	803
265	2331	254	441	226	463471	74155.36	389315.64	1641.37	841
266	2414	468	464	384	429077	120141.56	308935.44	1852.22	663
267	5615	251	368	373	443059	70889.44	372169.56	2730.85	576
268	5690	497	424	287	291805	32098.55	259706.45	1905.63	513
269	2620	368	380	266	499532	109897.04	389634.96	1642.72	823
270	5783	404	458	353	248539	34795.46	213743.54	1568.37	586
271	4100	348	371	223	444569	97805.18	346763.82	2307.03	615
272	7573	390	367	447	450481	112620.25	337860.75	2025.65	654
273	6558	354	404	411	393837	110274.36	283562.64	2080.68	576
274	4056	262	371	419	445488	40093.92	405394.08	2176.24	710
275	5896	311	466	242	240419	48083.8	192335.2	1411.29	561
276	7016	460	422	429	248802	32344.26	216457.74	1161.99	722
277	3926	470	402	269	247655	56960.65	190694.35	1268.69	645
278	5559	401	475	309	311359	40476.67	270882.33	1454.15	736
279	7731	216	364	427	488521	83048.57	405472.43	1709.49	828
280	8846	232	429	316	369126	107046.54	262079.46	1571.3	685
281	3879	264	353	254	332962	56603.54	276358.46	1838.62	616
282	2969	217	484	257	480906	139462.74	341443.26	2271.63	700
283	5107	403	453	224	453413	31738.91	421674.09	2013.14	763
284	4340	495	492	291	369207	55381.05	313825.95	1881.55	680
285	2415	494	495	445	252507	22725.63	229781.37	968.77	849
286	4001	484	428	426	398310	39831	358479	2630.39	582
287	2564	206	440	378	385707	61713.12	323993.88	1365.97	829
288	7817	213	461	287	257746	36084.44	221661.56	1626.47	578
289	5907	241	473	406	471878	56625.36	415252.64	1750.72	815
290	7998	434	451	215	497026	134197.02	362828.98	2662.31	538
291	5813	346	484	300	450165	36013.2	414151.8	2483.05	656
292	4857	492	382	415	389628	35066.52	354561.48	1692.73	786
293	3694	386	442	258	450949	67642.35	383306.65	2812.57	550
294	3982	238	373	399	254723	63680.75	191042.25	912.06	791
295	3653	274	448	279	269599	18871.93	250727.07	1839.75	555
296	9242	344	440	228	393721	78744.2	314976.8	2311.19	749
297	9750	421	391	250	356159	56985.44	299173.56	2195.23	564
298	2643	297	388	263	439388	70302.08	369085.92	2212.86	681
299	3955	472	364	373	366149	32953.41	333195.59	2444.87	592
300	7898	372	443	288	459376	50531.36	408844.64	2999.96	591
301	3485	258	412	245	366304	62271.68	304032.32	2230.88	593
302	7216	361	428	325	300439	33048.29	267390.71	1962.02	800
303	2401	360	438	230	464970	65095.8	399874.2	2146.61	743
304	8620	346	387	204	324502	29205.18	295296.82	2166.78	554
305	4212	326	394	397	342715	47980.1	294734.9	1407.11	787
306	2514	236	493	283	390169	58525.35	331643.65	1780.33	736
307	5413	300	392	252	292861	35143.32	257717.68	1086.55	803
308	3368	325	407	433	445656	115870.56	329785.44	1977.23	684
309	4241	496	462	368	459494	133253.26	326240.74	1375.44	811
310	6029	398	461	252	267056	56081.76	210974.24	1007.22	761
311	7250	467	443	256	354926	49689.64	305236.36	2239.72	589
312	4418	309	473	416	385973	111932.17	274040.83	1308.31	789
313	4111	278	416	234	428296	89942.16	338353.84	1615.35	750
314	8044	391	462	281	333271	59988.78	273282.22	1818.15	612
315	2672	446	438	408	496086	44647.74	451438.26	2706.6	671
316	6490	314	462	228	344051	51607.65	292443.35	1232.95	844
317	2451	431	353	368	487624	29257.44	458366.56	3049.52	632
318	3290	440	495	284	369154	62756.18	306397.82	1837.01	687
319	9218	491	491	378	420581	50469.72	370111.28	2219	661
320	2996	350	479	289	234540	35181	199359	1195.26	679
321	5254	304	386	244	413849	49661.88	364187.12	2672.28	561
322	6693	440	387	236	336374	80729.76	255644.24	1875.83	597
323	4676	254	433	332	436953	34956.24	401996.76	1919.19	763
324	3251	458	472	377	449832	26989.92	422842.08	2269.91	730
325	4034	209	389	245	375733	93933.25	281799.75	1874.82	646
326	6080	380	374	435	258192	69711.84	188480.16	794.64	803
327	4906	415	392	314	497985	34858.95	463126.05	3398.25	583
328	7563	202	433	272	421948	33755.84	388192.16	2327.41	660
329	9010	291	494	218	408915	81783	327132	1756.12	727
330	2993	214	361	381	307424	86078.72	221345.28	1056.74	793
331	3275	466	489	253	375656	101427.12	274228.88	1156.16	841
332	6732	308	433	275	481683	81886.11	399796.89	2659.86	606
333	8025	388	408	287	380104	60816.64	319287.36	1524.33	763
334	6606	330	435	209	493889	113594.47	380294.53	1603.34	849
335	3384	280	388	433	370051	96213.26	273837.74	1821.85	607
336	5117	480	409	442	309860	86760.8	223099.2	940.6	804
337	8618	372	356	216	403159	96758.16	306400.84	1462.8	794
338	8545	498	419	296	269980	13499	256481	1706.37	638
339	6810	210	354	382	384767	50019.71	334747.29	1598.13	779
340	2006	414	453	256	346997	55519.52	291477.48	1228.88	820
341	8269	426	383	377	432098	73456.66	358641.34	1712.21	768
342	5572	243	409	231	293084	52755.12	240328.88	1763.45	596
343	5797	484	376	439	309654	61930.8	247723.2	1648.11	635
344	3730	377	391	327	285909	80054.52	205854.48	1234.2	695
345	3233	231	432	339	417808	25068.48	392739.52	2881.78	588
346	7711	471	427	342	302763	60552.6	242210.4	1300.24	710
347	7186	225	478	289	356386	64149.48	292236.52	1568.79	716
348	2546	363	482	261	357116	96421.32	260694.68	1912.89	533
349	7151	342	433	211	269815	53963	215852	910.04	815
350	4658	402	389	387	320330	83285.8	237044.2	1577.06	602
351	5778	384	484	279	433801	95436.22	338364.78	2482.8	579
352	2627	286	474	344	254122	30494.64	223627.36	1640.9	545
353	6428	261	407	277	498273	99654.6	398618.4	2139.87	739
354	8008	230	430	359	383821	30705.68	353115.32	1488.75	837
355	3437	484	497	374	275016	60503.52	214512.48	1574.02	553
356	2086	396	356	351	291588	14579.4	277008.6	1842.95	636
357	6409	486	367	253	401038	40103.8	360934.2	1521.71	813
358	3965	302	459	288	327772	49165.8	278606.2	1495.62	711
359	2722	433	419	395	347831	20869.86	326961.14	2175.28	634
360	7452	400	471	232	480360	105679.2	374680.8	1579.67	826
361	3248	283	467	378	350567	38562.37	312004.63	2289.38	585
362	3324	292	420	251	318781	92446.49	226334.51	1215.01	731
363	6092	398	371	346	466031	55923.72	410107.28	2458.8	694
364	2649	345	473	448	452818	72450.88	380367.12	1603.64	844
365	9889	201	420	219	444909	48939.99	395969.01	2905.48	534
366	3203	249	420	296	354249	92104.74	262144.26	1744.05	607
367	8720	466	482	398	232980	51255.6	181724.4	867.58	774
368	8680	486	409	258	267778	58911.16	208866.84	880.59	844
369	4089	252	364	249	408232	40823.2	367408.8	1549.01	835
370	6876	376	442	242	335832	67166.4	268665.6	1442.26	708
371	4779	273	449	201	237846	26163.06	211682.94	1136.36	733
372	3956	227	410	276	246358	36953.7	209404.3	1536.53	511
373	9619	284	478	217	281562	45049.92	236512.08	1735.44	547
374	6133	387	358	289	484974	53347.14	431626.86	3167.12	530
375	7398	416	376	373	450309	126086.52	324222.48	2157.06	603
376	6574	288	468	379	248175	59562	188613	1383.98	527
377	8591	448	444	304	363475	25443.25	338031.75	2480.36	512
378	9400	210	488	365	287309	20111.63	267197.37	1777.67	625
379	4356	368	480	375	304516	42632.24	261883.76	1405.85	726
380	3680	409	353	343	297482	53546.76	243935.24	1622.91	613
381	9877	455	389	245	458527	32096.89	426430.11	2837.05	627
382	2183	367	456	281	233668	46733.6	186934.4	1120.77	669
383	5163	249	361	218	238984	23898.4	215085.6	1578.22	508
384	3181	447	362	371	482559	43430.31	439128.69	2632.8	665
385	4393	439	393	282	385915	54028.1	331886.9	2435.27	588
386	2384	446	432	447	238997	11949.85	227047.15	1218.84	728
387	6440	385	382	320	444351	111087.75	333263.25	1591.05	756
388	2035	325	400	307	281689	25352.01	256336.99	1880.91	527
389	5970	396	356	429	350162	59527.54	290634.46	1742.5	675
390	7379	355	442	264	408564	65370.24	343193.76	2518.23	550
391	6318	444	414	275	427214	123892.06	303321.94	1448.11	784
392	6761	222	372	266	368264	99431.28	268832.72	1283.45	754
393	4018	254	418	285	364966	65693.88	299272.12	1261.74	801
394	4247	289	427	423	273643	51992.17	221650.83	1626.4	529
395	9579	361	444	405	319375	73456.25	245918.75	1804.46	520
396	7937	345	451	356	235319	37651.04	197667.96	1315.09	619
397	3222	361	370	333	241561	41065.37	200495.63	845.3	829
398	8653	205	459	371	302333	60466.6	241866.4	1298.39	717
399	7236	328	370	207	269747	70134.22	199612.78	1464.69	577
400	2682	215	418	410	300549	87159.21	213389.79	1145.52	723
401	8310	287	486	346	267212	48098.16	219113.84	1046.08	773
402	3142	494	383	300	404558	113276.24	291281.76	1390.62	775
403	2395	315	491	374	469964	84593.52	385370.48	2563.88	614
404	3472	227	485	447	342566	82215.84	260350.16	1397.62	718
405	5221	314	490	435	351445	77317.9	274127.1	2011.45	561
406	7320	292	396	257	353670	53050.5	300619.5	1267.42	840
407	5263	488	455	393	466774	37341.92	429432.08	2574.66	672
408	9160	318	482	252	463713	69556.95	394156.05	2115.91	719
409	4777	267	389	423	398373	71707.14	326665.86	1753.61	744
410	3681	233	350	231	438663	114052.38	324610.62	2159.64	635
411	9899	309	454	200	278823	13941.15	264881.85	1264.59	769
412	2694	457	407	395	316857	60202.83	256654.17	1707.53	615
413	2649	475	481	218	369380	107120.2	262259.8	1407.87	741
414	2917	238	413	369	265013	23851.17	241161.83	1016.75	833
415	3248	477	391	299	485315	53384.65	431930.35	2873.64	619
416	4422	493	378	331	370509	70396.71	300112.29	1996.65	643
417	7829	305	372	288	470411	23520.55	446890.45	1884.11	842
418	8163	283	470	429	385841	61734.56	324106.44	2378.18	512
419	3751	277	427	263	438637	74568.29	364068.71	2671.41	572
420	3743	469	426	232	477785	129001.95	348783.05	1470.48	832
421	3058	380	487	397	371345	51988.3	319356.7	1524.66	755
422	9837	459	379	380	256687	35936.18	220750.82	930.69	828
423	4566	479	459	353	295717	44357.55	251359.45	1059.74	829
424	3674	377	416	407	338847	77934.81	260912.19	1100.02	650
425	5352	339	371	279	358202	60894.34	297307.66	2181.54	539
426	7981	211	358	339	263093	36833.02	226259.98	1660.22	521
427	6626	397	436	364	278147	72318.22	205828.78	867.78	843
428	4067	360	402	329	309579	80490.54	229088.46	965.85	846
429	9774	462	414	302	414114	86963.94	327150.06	2400.51	521
430	8101	478	396	379	382648	30611.84	352036.16	1484.2	814
431	4236	430	466	254	312766	65680.86	247085.14	1643.86	602
432	7960	340	459	219	281663	45066.08	236596.92	1736.06	582
433	4184	211	393	298	326783	52285.28	274497.72	1473.56	732
434	3684	228	357	309	367594	55139.1	312454.9	1677.33	710
435	8903	341	374	411	272225	49000.5	223224.5	1485.12	636
436	7026	483	446	339	433469	56350.97	377118.03	2767.16	590
437	8601	491	387	354	333257	56653.69	276603.31	1166.17	802
438	8324	471	479	310	386921	65776.57	321144.43	1353.96	804
439	5213	447	465	448	253090	60741.6	192348.4	1411.38	570
440	6327	457	413	249	349160	66340.4	282819.6	1350.22	751
441	6006	444	387	324	249650	67405.5	182244.5	1212.48	626
442	8762	389	480	227	382515	91803.6	290711.4	2133.14	518
443	4805	269	399	422	232560	27907.2	204652.8	977.04	759
444	6393	245	442	291	304202	51714.34	252487.66	1679.81	619
445	6326	271	498	426	321598	35375.78	286222.22	1536.5	721
446	7380	221	396	259	472826	42554.34	430271.66	3157.18	563
447	5144	425	451	404	248002	14880.12	233121.88	1710.57	592
448	7883	259	495	322	242635	14558.1	228076.9	1673.55	540
449	6804	374	486	205	250842	65218.92	185623.08	1362.04	588
